FileName,NumRows,NumChunks,RowsPerChunk
1.csv,4000,8,500
10.csv,1287,3,429
11.csv,2072,5,415
2.csv,4001,9,445
3.csv,4001,9,445
4.csv,721,2,361
5.csv,4001,9,445
6.csv,4660,10,466
7.csv,925,2,463
8.csv,891,2,446
9.csv,679,2,340
a1.csv,4000,8,500
b.csv,4001,9,445
c.csv,4001,9,445
d.csv,4001,9,445
distorted_1.csv,4001,9,445
distorted_2.csv,4000,8,500
distorted_3.csv,4001,9,445
output_1.csv,4001,9,445
output_10.csv,4001,9,445
output_11.csv,4000,8,500
output_12.csv,4001,9,445
output_13.csv,4000,8,500
output_14_dist.csv,4001,9,445
output_16_dis.csv,4001,9,445
output_19_step.csv,4001,9,445
output_2.csv,4000,8,500
output_20_step0_0.csv,5973,12,498
output_20_step0_5.csv,4001,9,445
output_20_step1_0.csv,3668,8,459
output_3.csv,2001,5,401
output_4.csv,4001,9,445
output_5.csv,4001,9,445
output_6.csv,4001,9,445
output_7.csv,4001,9,445
output_8.csv,4001,9,445
output_9.csv,4000,8,500
