Error,ErrorRate,ControlSignal
1.024,799.6,-163.78
1.0249,-0.4,-3.7952
0.99161,-5.2828,-2.6956
0.89484,-15.048,-0.36483
0.69552,-24.814,2.3776
0.43273,-24.814,3.4232
0.20901,-15.048,2.362
0.11223,-5.2828,0.79447
0.064289,-5.2828,0.9854
0.030992,-0.4,0.14155
-0.0023047,-0.4,0.27463
-0.035602,-5.2828,1.3846
-0.059133,-0.4,0.50262
-0.087547,-5.2828,1.5936
-0.11596,-0.4,0.73171
-0.14926,-5.2828,1.8428
-0.17767,-0.4,0.98154
-0.19632,-0.4,1.058
-0.22962,-5.2828,2.1699
-0.25803,-0.4,1.3094
-0.28645,-5.2828,2.4024
-0.30509,-0.4,1.5034
-0.32862,-0.4,1.6007
-0.34239,-0.4,1.6591
-0.35127,-0.4,1.6981
-0.34551,4.4828,0.70197
-0.33974,-0.4,1.6589
-0.32421,4.4828,0.62353
-0.30868,4.4828,0.56458
-0.29315,-0.4,1.482
-0.27762,4.4828,0.44618
-0.26697,-0.4,1.3829
-0.25632,-0.4,1.3429
-0.24567,-0.4,1.3028
-0.23991,-0.4,1.2821
-0.23902,-0.4,1.281
-0.23814,-0.4,1.2798
-0.23726,-0.4,1.2786
-0.23637,-0.4,1.2775
-0.23549,-0.4,1.2763
-0.23461,-0.4,1.2751
-0.23373,-0.4,1.2739
-0.23284,4.4828,0.2962
-0.23196,-0.4,1.2716
-0.2262,-0.4,1.2508
-0.22043,-0.4,1.23
-0.21466,-0.4,1.2091
-0.20402,-0.4,1.1686
-0.19825,-0.4,1.1475
-0.1876,4.4828,0.13027
-0.18184,-0.4,1.0856
-0.17119,4.4828,0.06822
-0.16542,4.4828,0.046862
-0.15966,-0.4,1.002
-0.15389,-0.4,0.98049
-0.14812,-0.4,0.95892
-0.14236,-0.4,0.9373
-0.13659,-0.4,0.91564
-0.13571,-0.4,0.91348
-0.12995,4.4828,-0.084819
-0.12906,-0.4,0.88952
-0.12818,-0.4,0.88727
-0.1273,-0.4,0.88502
-0.12641,-0.4,0.88276
-0.12553,-0.4,0.88051
-0.12465,-0.4,0.87824
-0.12377,-0.4,0.87596
-0.118,4.4828,-0.12245
-0.11712,-0.4,0.85178
-0.11623,-0.4,0.8494
-0.11047,-0.4,0.82747
-0.10959,-0.4,0.82503
-0.10382,-0.4,0.80302
-0.098055,-0.4,0.78097
-0.092289,-0.4,0.75887
-0.086523,4.4828,-0.23985
-0.085641,-0.4,0.73405
-0.079875,-0.4,0.7118
-0.074109,4.4828,-0.28704
-0.073227,-0.4,0.68673
-0.067461,-0.4,0.66437
-0.061695,4.4828,-0.3346
-0.060813,-0.4,0.63906
-0.055047,-0.4,0.61657
-0.049281,4.4828,-0.38251
-0.048398,-0.4,0.59101
-0.042633,-0.4,0.56839
-0.04175,-0.4,0.56529
-0.040867,-0.4,0.56217
-0.039984,-0.4,0.55903
-0.039102,-0.4,0.55588
-0.038219,-0.4,0.55274
-0.042219,-0.4,0.56914
-0.041336,-0.4,0.56601
-0.040453,-0.4,0.5629
-0.03957,-0.4,0.55975
-0.033805,-0.4,0.53704
-0.028039,-0.4,0.51429
-0.022273,-0.4,0.49149
-0.016508,4.4828,-0.50793
-0.015625,-0.4,0.46527
-0.0098594,-0.4,0.44232
-0.0089766,-0.4,0.43889
-0.0080938,-0.4,0.43542
-0.0072109,-0.4,0.43197
-0.0063281,-0.4,0.42852
-0.010328,-0.4,0.44462
-0.0045625,-0.4,0.42163
-0.0036797,-0.4,0.41815
-0.0027969,-0.4,0.41465
0.0029687,-0.4,0.39159
0.0038516,-0.4,0.38802
0.0096172,4.4828,-0.61165
0.0105,-0.4,0.36129
0.0065,-5.2828,1.3538
0.0073828,-0.4,0.37358
0.0082656,-0.4,0.36998
0.0042656,-0.4,0.38592
0.0051484,-0.4,0.38235
0.0060313,4.4828,-0.59778
0.0020312,-0.4,0.39476
0.0077969,-0.4,0.37164
0.013563,-0.4,0.34848
0.019328,-0.4,0.32525
0.025094,-0.4,0.30197
0.035742,-0.4,0.25906
0.041508,-0.4,0.23562
0.047273,-0.4,0.2121
0.048156,-0.4,0.20809
0.049039,-0.4,0.20405
0.049922,-0.4,0.20003
0.045922,-0.4,0.21556
0.041922,-0.4,0.23112
0.037922,-0.4,0.24673
0.038805,-0.4,0.24281
0.039687,-0.4,0.23888
0.04057,-0.4,0.23495
0.046336,-0.4,0.21143
0.052102,4.4828,-0.78867
0.052984,-0.4,0.18384
0.05875,-0.4,0.16022
0.059633,-0.4,0.15609
0.065398,-0.4,0.13238
0.066281,-0.4,0.12819
0.072047,4.4828,-0.87212
0.068047,-5.2828,1.0963
0.073812,4.4828,-0.88059
0.069813,-5.2828,1.0878
0.075578,-0.4,0.087434
0.076461,-0.4,0.083145
0.082227,-0.4,0.059291
0.083109,-0.4,0.05493
0.088875,-0.4,0.031
0.094641,-0.4,0.0070118
0.095523,-0.4,0.0025268
0.096406,-0.4,-0.0019865
0.10217,-0.4,-0.026059
0.098172,-5.2828,0.96549
0.10394,4.4828,-1.0117
0.099937,-5.2828,0.95639
0.1057,4.4828,-1.0208
0.1017,-0.4,-0.029296
0.10259,-0.4,-0.033832
0.098586,-0.4,-0.018826
0.099469,-0.4,-0.02335
0.10035,-0.4,-0.027898
0.10612,-0.4,-0.052001
0.107,-0.4,-0.0566
0.11277,-0.4,-0.08076
0.11365,-0.4,-0.085426
0.11941,-0.4,-0.10967
0.12518,-0.4,-0.13397
0.13095,-0.4,-0.15831
0.13183,-0.4,-0.16315
0.13759,-0.4,-0.18757
0.14336,4.4828,-1.1886
0.14424,-0.4,-0.21698
0.14513,-0.4,-0.22197
0.14601,-0.4,-0.22695
0.14689,-0.4,-0.23196
0.14777,-0.4,-0.23698
0.14866,-0.4,-0.242
0.14954,-0.4,-0.24703
0.15042,-0.4,-0.25206
0.1513,-0.4,-0.2571
0.15219,4.4828,-1.2387
0.15795,4.4828,-1.2633
0.15884,-0.4,-0.29185
0.1646,-0.4,-0.31654
0.17037,-0.4,-0.3413
0.18102,-0.4,-0.38568
0.18678,-0.4,-0.4106
0.19743,-0.4,-0.45514
0.2032,-0.4,-0.48023
0.21384,-0.4,-0.52493
0.21961,-0.4,-0.55017
0.22537,-0.4,-0.57547
0.23114,-0.4,-0.60083
0.23691,-0.4,-0.62624
0.23779,-5.2828,0.34441
1.0484,804.48,-164.85
1.0444,-0.4,-3.8724
1.016,-5.2828,-2.7926
0.92902,-10.166,-1.4777
0.74435,-19.931,1.2057
0.46691,-29.697,4.2626
0.21877,-15.048,2.3223
0.08782,-10.166,1.8681
0.030109,-5.2828,1.1219
-0.012953,-5.2828,1.2941
-0.04625,-0.4,0.45099
-0.079547,-5.2828,1.5614
-0.098195,-0.4,0.6603
-0.13149,-5.2828,1.7712
-0.16479,-5.2828,1.9059
-0.1932,-0.4,1.0448
-0.21185,-5.2828,2.098
-0.23538,-0.4,1.2178
-0.2638,-0.4,1.3339
-0.29709,-5.2828,2.4465
-0.31086,-0.4,1.528
-0.32951,-0.4,1.6059
-0.33839,-0.4,1.6447
-0.34239,-0.4,1.6641
-0.33662,-0.4,1.6445
-0.33086,-0.4,1.6247
-0.31533,-0.4,1.5658
-0.2998,4.4828,0.53019
-0.28427,4.4828,0.47099
-0.27362,-0.4,1.4077
-0.25809,4.4828,0.37171
-0.25232,-0.4,1.3278
-0.24167,-0.4,1.2876
-0.23591,4.4828,0.2904
-0.23502,-0.4,1.2658
-0.23414,-0.4,1.2646
-0.23326,-0.4,1.2634
-0.23238,-0.4,1.2621
-0.22661,-0.4,1.2414
-0.22573,4.4828,0.26355
-0.22484,-0.4,1.2388
-0.21908,4.4828,0.24143
-0.21331,-0.4,1.1971
-0.21243,-0.4,1.1957
-0.20666,-0.4,1.1747
-0.2009,4.4828,0.17712
-0.20002,-0.4,1.1522
-0.19425,4.4828,0.1545
-0.19337,-0.4,1.1295
-0.19248,-0.4,1.1278
-0.18672,-0.4,1.1067
-0.18584,-0.4,1.105
-0.18007,-0.4,1.0837
-0.17919,-0.4,1.082
-0.1783,-0.4,1.0802
-0.17254,4.4828,0.08236
-0.17166,-0.4,1.0571
-0.16589,-0.4,1.0357
-0.16012,-0.4,1.0143
-0.15436,4.4828,0.016246
-0.14859,-0.4,0.97125
-0.14283,-0.4,0.94965
-0.13706,-0.4,0.92798
-0.1313,-0.4,0.90625
-0.12553,-0.4,0.88446
-0.11977,4.4828,-0.11394
-0.114,4.4828,-0.13582
-0.11312,-0.4,0.83835
-0.10735,-0.4,0.81638
-0.10647,-0.4,0.81393
-0.10559,-0.4,0.81144
-0.09982,4.4828,-0.18716
-0.098937,4.4828,-0.18968
-0.098055,-0.4,0.78435
-0.097172,-0.4,0.7818
-0.096289,-0.4,0.77925
-0.095406,-0.4,0.77667
-0.089641,-0.4,0.75451
-0.083875,-0.4,0.73229
-0.073227,4.4828,-0.28608
-0.067461,-0.4,0.66811
-0.056813,4.4828,-0.35043
-0.051047,-0.4,0.6036
-0.045281,-0.4,0.58101
-0.039516,-0.4,0.55836
-0.038633,-0.4,0.55523
-0.03775,-0.4,0.55208
-0.036867,4.4828,-0.42762
-0.040867,-0.4,0.56533
-0.044867,-0.4,0.58176
-0.048867,-0.4,0.59823
-0.047984,-0.4,0.5952
-0.047102,4.4828,-0.3844
-0.046219,4.4828,-0.38744
-0.040453,4.4828,-0.41006
-0.03957,-0.4,0.56339
-0.033805,-0.4,0.54067
-0.028039,-0.4,0.5179
-0.017391,4.4828,-0.50104
-0.011625,4.4828,-0.52393
-0.010742,-0.4,0.44923
-0.0098594,-0.4,0.44581
-0.0089766,-0.4,0.44236
-0.0080938,4.4828,-0.53762
-0.012094,-0.4,0.45504
-0.011211,4.4828,-0.52491
-0.015211,-0.4,0.46778
-0.0094453,4.4828,-0.53172
-0.0085625,-0.4,0.44141
-0.0027969,4.4828,-0.55814
-0.0019141,-0.4,0.41492
0.0038516,-0.4,0.39184
0.0047344,-0.4,0.38826
0.0105,4.4828,-0.61145
0.011383,4.4828,-0.61507
0.0073828,-0.4,0.3774
0.0082656,-0.4,0.37379
0.0042656,-0.4,0.38972
0.0051484,-0.4,0.38613
0.0060313,-0.4,0.38255
0.0069141,-0.4,0.37896
0.01268,4.4828,-0.62075
0.018445,4.4828,-0.64395
0.019328,-0.4,0.3289
0.025094,-0.4,0.30561
0.030859,-0.4,0.28227
0.036625,-0.4,0.25888
0.037508,-0.4,0.25498
0.043273,-0.4,0.23151
0.044156,-0.4,0.22756
0.045039,-0.4,0.2236
0.041039,-0.4,0.23917
0.041922,-0.4,0.23521
0.042805,-0.4,0.23126
0.043687,-0.4,0.22728
0.049453,-0.4,0.20377
0.050336,-0.4,0.19974
0.056102,-0.4,0.17615
0.061867,4.4828,-0.82406
0.06275,-0.4,0.14836
0.068516,4.4828,-0.85192
0.069398,-0.4,0.12044
0.070281,4.4828,-0.86033
0.066281,-0.4,0.13157
0.067164,-0.4,0.12736
0.068047,4.4828,-0.85339
0.06893,4.4828,-0.85759
0.069813,-0.4,0.11478
0.075578,-0.4,0.090984
0.081344,-0.4,0.067149
0.087109,-0.4,0.043246
0.087992,-0.4,0.038846
0.093758,-0.4,0.014867
0.094641,-0.4,0.010415
0.095523,-0.4,0.0059452
0.096406,4.4828,-0.97509
0.092406,-0.4,0.016529
0.088406,-5.2828,1.0082
0.089289,-0.4,0.02718
0.085289,-0.4,0.042309
0.086172,-0.4,0.037898
0.087055,-0.4,0.033507
0.087937,-0.4,0.029108
0.08882,-0.4,0.024695
0.094586,-0.4,0.00070777
0.10035,4.4828,-0.99987
0.10612,-0.4,-0.047391
0.107,-0.4,-0.051986
0.11765,-0.4,-0.095706
0.12341,4.4828,-1.0965
0.12918,-0.4,-0.14428
0.13495,-0.4,-0.16865
0.14071,-0.4,-0.1931
0.14648,4.4828,-1.1941
0.14736,-0.4,-0.22258
0.14824,-0.4,-0.22759
0.14912,-5.2828,0.74392
0.15001,-0.4,-0.23767
0.15577,4.4828,-1.2388
0.15666,4.4828,-1.2439
0.15754,-0.4,-0.27242
0.15842,-0.4,-0.27753
0.1593,-0.4,-0.28265
0.16507,4.4828,-1.2839
0.16595,-0.4,-0.31249
0.17172,4.4828,-1.3138
0.1726,-0.4,-0.34248
0.17348,-0.4,-0.34775
0.17925,-0.4,-0.37259
0.18013,-0.4,-0.37791
0.18102,-0.4,-0.38324
0.1819,-0.4,-0.38857
0.18278,-0.4,-0.39392
0.18366,-0.4,-0.39927
0.18455,-0.4,-0.40464
0.19031,4.4828,-1.4061
0.1912,-0.4,-0.435
0.19696,-0.4,-0.46001
0.20273,-0.4,-0.48508
0.21338,4.4828,-1.5063
1.0191,799.6,-163.76
1.0249,4.4828,-4.7656
0.99649,-5.2828,-2.709
0.91437,-10.166,-1.4135
0.71994,-24.814,2.2858
0.43762,-29.697,4.3859
0.17971,-19.931,3.4616
0.048758,-10.166,2.0312
-0.023602,-10.166,2.3206
-0.056898,-0.4,0.50109
-0.090195,-5.2828,1.6116
-0.10884,-0.4,0.71064
-0.13726,-5.2828,1.8021
-0.17544,-0.4,0.97984
-0.20873,-5.2828,2.0915
-0.21273,-0.4,1.1331
-0.23138,-0.4,1.2099
-0.25491,-0.4,1.3065
-0.28333,-5.2828,2.3994
-0.30198,-0.4,1.5004
-0.32063,-5.2828,2.5547
-0.32463,-0.4,1.5973
-0.32862,-0.4,1.6166
-0.31798,-0.4,1.5773
-0.30733,-0.4,1.5378
-0.2918,-0.4,1.4787
-0.27627,4.4828,0.4428
-0.26073,-0.4,1.3599
-0.25009,4.4828,0.34333
-0.23944,4.4828,0.30319
-0.23855,-0.4,1.2786
-0.23279,-0.4,1.2579
-0.23679,-0.4,1.2763
-0.24079,-0.4,1.2946
-0.24479,-0.4,1.3131
-0.24391,-0.4,1.312
-0.24791,-0.4,1.3304
-0.24702,-0.4,1.3294
-0.24614,-0.4,1.3283
-0.24038,-0.4,1.3077
-0.23949,-0.4,1.3066
-0.22884,-0.4,1.2663
-0.22796,-0.4,1.265
-0.21731,-0.4,1.2247
-0.21643,-0.4,1.2233
-0.20578,-0.4,1.1828
-0.2049,-0.4,1.1813
-0.20402,-0.4,1.1798
-0.20313,-0.4,1.1783
-0.19737,-0.4,1.1573
-0.19648,4.4828,0.17915
-0.1956,-0.4,1.1542
-0.19472,4.4828,0.17605
-0.19384,-0.4,1.151
-0.19295,-0.4,1.1494
-0.18719,-0.4,1.1282
-0.18142,-0.4,1.107
-0.17077,-0.4,1.0661
-0.16012,4.4828,0.048623
-0.14948,-0.4,0.98414
-0.13883,-0.4,0.94298
-0.12818,-0.4,0.9017
-0.11753,-0.4,0.86031
-0.10688,-0.4,0.81882
-0.10112,-0.4,0.79677
-0.090469,-0.4,0.75511
-0.089586,-0.4,0.75248
-0.08382,-0.4,0.73027
-0.08782,-0.4,0.74713
-0.086937,-0.4,0.74446
-0.090938,-5.2828,1.7379
-0.085172,-0.4,0.73913
-0.084289,-0.4,0.73645
-0.078523,-0.4,0.71421
-0.077641,-0.4,0.71147
-0.071875,-0.4,0.68915
-0.070992,-0.4,0.68632
-0.065227,-0.4,0.66391
-0.059461,-0.4,0.64146
-0.053695,-0.4,0.61896
-0.052812,-0.4,0.61596
-0.05193,-0.4,0.61296
-0.051047,-0.4,0.60995
-0.050164,-0.4,0.60693
-0.054164,-0.4,0.62345
-0.048398,4.4828,-0.37567
-0.052398,-0.4,0.6174
-0.051516,-0.4,0.61438
-0.050633,-0.4,0.61134
